TITLE,S2L
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/19
TIME,15:41:03
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  370.0000
LASTX,  800.0000
NPOINTS,     861
FIRSTY,   502.63272
MAXY,   502.63272
MINY,     1.45963
XYDATA
560.0000,37.8647
560.5000,37.5072
561.0000,37.2703
561.5000,36.9573
562.0000,36.6993
562.5000,36.3838
563.0000,36.1553
563.5000,35.8183
564.0000,35.4386
564.5000,35.2462
565.0000,34.9332
565.5000,34.7004
566.0000,34.501
566.5000,34.211
567.0000,34.0109
567.5000,33.8205
568.0000,33.6496
568.5000,33.3833
569.0000,33.1248
569.5000,32.8512
570.0000,32.5749
570.5000,32.3929
571.0000,32.2711
571.5000,32.0663
572.0000,31.8483
572.5000,31.7556
573.0000,31.6112
573.5000,31.4258
574.0000,31.3878
574.5000,31.1378
575.0000,31.0024
575.5000,30.9922
576.0000,30.8411
576.5000,30.8709
577.0000,30.7726
577.5000,30.6245
578.0000,30.4154
578.5000,30.2537
579.0000,30.1526
579.5000,30.1753
580.0000,30.0315
580.5000,29.9024
581.0000,29.6735
581.5000,29.5198
582.0000,29.354
582.5000,29.1771
583.0000,29.0067
583.5000,28.8128
584.0000,28.6557
584.5000,28.3563
585.0000,28.2754
585.5000,28.0613
586.0000,27.9646
586.5000,27.7441
587.0000,27.5216
587.5000,27.1702
588.0000,26.93
588.5000,26.6592
589.0000,26.374
589.5000,26.1218
590.0000,25.9798
590.5000,25.7355
591.0000,25.4606
591.5000,25.1655
592.0000,24.8988
592.5000,24.5913
593.0000,24.2421
593.5000,23.9677
594.0000,23.7096
594.5000,23.4537
595.0000,23.1602
595.5000,22.7954
596.0000,22.4927
596.5000,22.1602
597.0000,21.9494
597.5000,21.7143
598.0000,21.4636
598.5000,21.1794
599.0000,20.8855
599.5000,20.6458
600.0000,20.3503
600.5000,20.1774
601.0000,19.9322
601.5000,19.7143
602.0000,19.4322
602.5000,19.2775
603.0000,19.1016
603.5000,18.9477
604.0000,18.7713
604.5000,18.6475
605.0000,18.4364
605.5000,18.2855
606.0000,18.1615
606.5000,18.0206
607.0000,17.8779
607.5000,17.7634
608.0000,17.655
608.5000,17.5311
609.0000,17.4294
609.5000,17.4796
610.0000,17.4682
610.5000,17.4434
611.0000,17.3725
611.5000,17.3208
612.0000,17.3358
612.5000,17.346
613.0000,17.29
613.5000,17.3585
614.0000,17.405
614.5000,17.5056
615.0000,17.6153
615.5000,17.6669
616.0000,17.7274
616.5000,17.7565
617.0000,17.7281
617.5000,17.8282
618.0000,17.9385
618.5000,17.8425
619.0000,17.9114
619.5000,17.9283
620.0000,18.0328
620.5000,17.9883
621.0000,18.0499
621.5000,17.998
622.0000,17.9189
622.5000,17.9043
623.0000,17.8352
623.5000,17.766
624.0000,17.8135
624.5000,17.6713
625.0000,17.6372
625.5000,17.4864
626.0000,17.4696
626.5000,17.3806
627.0000,17.2418
627.5000,17.2255
628.0000,17.1881
628.5000,17.1445
629.0000,17.0256
629.5000,16.8329
630.0000,16.679
630.5000,16.5298
631.0000,16.2953
631.5000,16.2057
632.0000,16.0162
632.5000,15.8797
633.0000,15.8185
633.5000,15.5577
634.0000,15.4718
634.5000,15.3835
635.0000,15.1493
635.5000,15.0255
636.0000,14.9087
636.5000,14.7794
637.0000,14.6215
637.5000,14.4826
638.0000,14.4407
638.5000,14.2991
639.0000,14.1844
639.5000,13.9729
640.0000,13.8502
640.5000,13.7757
641.0000,13.6527
641.5000,13.4559
642.0000,13.3626
642.5000,13.3549
643.0000,13.1579
643.5000,12.9884
644.0000,12.8037
644.5000,12.6339
645.0000,12.5928
645.5000,12.4638
646.0000,12.354
646.5000,12.3175
647.0000,12.1821
647.5000,12.195
648.0000,12.0946
648.5000,11.9405
649.0000,11.8218
649.5000,11.7155
650.0000,11.576
650.5000,11.4557
651.0000,11.2805
651.5000,11.1031
652.0000,10.949
652.5000,10.8444
653.0000,10.7631
653.5000,10.6164
654.0000,10.4964
654.5000,10.3775
655.0000,10.3054
655.5000,10.2224
656.0000,10.1172
656.5000,10.0111
657.0000,9.93708
657.5000,9.81591
658.0000,9.69251
658.5000,9.60367
659.0000,9.49436
659.5000,9.41562
660.0000,9.29484
660.5000,9.12877
661.0000,9.03704
661.5000,8.87551
662.0000,8.82166
662.5000,8.73047
663.0000,8.54145
663.5000,8.38719
664.0000,8.38208
664.5000,8.27022
665.0000,8.19405
665.5000,8.08941
666.0000,8.02183
666.5000,7.97545
667.0000,7.91575
667.5000,7.86692
668.0000,7.76308
668.5000,7.67697
669.0000,7.63528
669.5000,7.5549
670.0000,7.47452
670.5000,7.36965
671.0000,7.25763
671.5000,7.19981
672.0000,7.08888
672.5000,7.05181
673.0000,7.02132
673.5000,6.94674
674.0000,6.86759
674.5000,6.7973
675.0000,6.77567
675.5000,6.76328
676.0000,6.71568
676.5000,6.65951
677.0000,6.57057
677.5000,6.49365
678.0000,6.4334
678.5000,6.34135
679.0000,6.27981
679.5000,6.23353
680.0000,6.19938
680.5000,6.14597
681.0000,6.11431
681.5000,6.10809
682.0000,6.08459
682.5000,6.11633
683.0000,6.10774
683.5000,6.21711
684.0000,6.38037
684.5000,6.61291
685.0000,7.01439
685.5000,7.60251
686.0000,8.31074
686.5000,9.37247
687.0000,10.6865
687.5000,12.2814
688.0000,14.2916
688.5000,16.606
689.0000,19.0971
689.5000,22.1342
690.0000,25.5542
690.5000,29.246
691.0000,33.0371
691.5000,37.0906
692.0000,41.5082
692.5000,46.3804
693.0000,50.9749
693.5000,55.7383
694.0000,60.2318
694.5000,64.6856
695.0000,68.8245
695.5000,73.0483
696.0000,76.9432
696.5000,80.6246
697.0000,83.9141
697.5000,86.6557
698.0000,89.2396
698.5000,91.5251
699.0000,93.2538
699.5000,94.7762
700.0000,95.8888
700.5000,96.6424
701.0000,96.8018
701.5000,96.4306
702.0000,95.6142
702.5000,94.2432
703.0000,92.3775
703.5000,90.2813
704.0000,87.6972
704.5000,84.6399
705.0000,81.1456
705.5000,77.2651
706.0000,73.3343
706.5000,69.1094
707.0000,64.5326
707.5000,59.5042
708.0000,54.6721
708.5000,50.1276
709.0000,45.4129
709.5000,40.8829
710.0000,36.6263
710.5000,32.2923
711.0000,28.3641
711.5000,24.623
712.0000,21.4192
712.5000,18.5317
713.0000,15.7611
713.5000,13.4652
714.0000,11.496
714.5000,9.63774
715.0000,8.09268
715.5000,6.77179
716.0000,5.86223
716.5000,5.13979
717.0000,4.54875
717.5000,4.09606
718.0000,3.79512
718.5000,3.58857
719.0000,3.43624
719.5000,3.30435
720.0000,3.21934
