TITLE,
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,22/10/18
TIME,18:47:16
SPECTROMETER/DATA SYSTEM,
LOCALE,16393
RESOLUTION,
DELTAX,-0.2
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX,  900.0000
LASTX,  200.0000
NPOINTS,    3501
FIRSTY,     0.41798
MAXY,     0.75010
MINY,     0.41378
XYDATA
875.8000,0.431533
875.6000,0.432359
875.4000,0.432184
875.2000,0.432062
875.0000,0.43154
874.8000,0.432815
874.6000,0.433593
874.4000,0.43326
874.2000,0.432969
874.0000,0.432037
873.8000,0.4312
873.6000,0.432393
873.4000,0.434232
873.2000,0.435763
873.0000,0.435088
872.8000,0.433987
872.6000,0.434827
872.4000,0.435079
872.2000,0.434695
872.0000,0.433793
871.8000,0.433491
871.6000,0.434004
871.4000,0.433713
871.2000,0.434328
871.0000,0.435598
870.8000,0.436014
870.6000,0.434884
870.4000,0.435009
870.2000,0.436882
870.0000,0.43578
869.8000,0.436168
869.6000,0.436466
869.4000,0.435504
869.2000,0.435776
869.0000,0.435439
868.8000,0.437178
868.6000,0.438343
868.4000,0.43737
868.2000,0.436468
868.0000,0.43678
867.8000,0.438097
867.6000,0.436747
867.4000,0.436272
867.2000,0.438428
867.0000,0.438761
866.8000,0.437781
866.6000,0.437606
866.4000,0.437307
866.2000,0.437298
866.0000,0.438581
865.8000,0.438721
865.6000,0.438214
865.4000,0.438487
865.2000,0.439114
865.0000,0.438876
864.8000,0.438706
864.6000,0.439456
864.4000,0.439288
864.2000,0.439072
864.0000,0.43814
863.8000,0.438684
863.6000,0.439573
863.4000,0.4403
863.2000,0.441014
863.0000,0.440116
862.8000,0.440452
862.6000,0.440078
862.4000,0.439303
862.2000,0.440031
862.0000,0.440303
861.8000,0.440085
861.6000,0.440493
861.4000,0.44073
861.2000,0.441158
861.0000,0.441483
860.8000,0.441027
860.6000,0.441329
860.4000,0.441961
860.2000,0.441943
860.0000,0.441698
859.8000,0.441886
859.6000,0.442091
859.4000,0.441748
859.2000,0.441788
859.0000,0.442227
858.8000,0.442874
858.6000,0.442976
858.4000,0.442594
858.2000,0.443202
858.0000,0.442863
857.8000,0.441825
857.6000,0.442054
857.4000,0.44312
857.2000,0.443755
857.0000,0.443322
856.8000,0.443113
856.6000,0.443736
856.4000,0.444121
856.2000,0.44369
856.0000,0.44416
855.8000,0.445198
855.6000,0.444946
855.4000,0.444622
855.2000,0.44513
855.0000,0.444872
854.8000,0.444471
854.6000,0.445485
854.4000,0.446013
854.2000,0.444829
854.0000,0.44467
853.8000,0.445385
853.6000,0.445292
853.4000,0.445732
853.2000,0.44612
853.0000,0.445902
852.8000,0.446345
852.6000,0.44688
852.4000,0.446115
852.2000,0.445928
852.0000,0.446622
851.8000,0.446696
851.6000,0.446413
851.4000,0.446296
851.2000,0.446535
851.0000,0.447209
850.8000,0.447047
850.6000,0.446834
850.4000,0.447621
850.2000,0.447575
850.0000,0.447221
849.8000,0.447042
849.6000,0.447642
849.4000,0.447801
849.2000,0.4479
849.0000,0.448286
848.8000,0.447967
848.6000,0.44771
848.4000,0.448023
848.2000,0.44814
848.0000,0.448365
847.8000,0.448648
847.6000,0.448234
847.4000,0.448263
847.2000,0.448409
847.0000,0.448668
846.8000,0.448976
846.6000,0.449366
846.4000,0.450081
846.2000,0.449658
846.0000,0.449257
845.8000,0.449602
845.6000,0.449408
845.4000,0.449437
845.2000,0.44919
845.0000,0.449154
844.8000,0.449618
844.6000,0.449187
844.4000,0.44938
844.2000,0.45023
844.0000,0.44954
843.8000,0.449577
843.6000,0.450543
843.4000,0.450488
843.2000,0.45012
843.0000,0.450144
842.8000,0.450369
842.6000,0.450426
842.4000,0.450495
842.2000,0.450931
842.0000,0.451322
841.8000,0.451352
841.6000,0.451228
841.4000,0.450902
841.2000,0.450656
841.0000,0.450862
840.8000,0.451232
840.6000,0.451354
840.4000,0.451578
840.2000,0.451805
840.0000,0.451961
839.8000,0.452009
839.6000,0.451901
839.4000,0.451824
839.2000,0.451727
839.0000,0.451586
838.8000,0.451567
838.6000,0.451846
838.4000,0.45193
